ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
91.0,AMAZONAS,91001,LETICIA,91001000.0,LETICIA (LETICIA - AMAZONAS),2024,6,3994102.0,1010671.0,7824.51,Jueves,06/20/2024 03:30:00 PM,24.0
91.0,AMAZONAS,91540,PUERTO NARIÑO,91540000.0,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2024,6,127838.0,40378.0,256.0,Miércoles,06/05/2024 06:15:00 PM,24.0
91.0,AMAZONAS,91798,TARAPACA (ANM),91798000.0,TARAPACA (TARAPACA (ANM) - AMAZONAS),2024,6,26578.0,11917.0,101.43,Jueves,06/20/2024 06:30:00 PM,10.18
88.0,ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA,88564,PROVIDENCIA,88564000.0,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA ),2024,6,1284196.0,274864.0,2241.56,Miércoles,06/12/2024 02:15:00 PM,24.0
13.0,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007.0,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2024,6,60724.0,28336.0,265.63,Domingo,06/30/2024 08:00:00 PM,9.4
13.0,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017.0,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2024,6,12040.0,3944.0,53.41,Viernes,06/21/2024 10:30:00 PM,9.24
18.0,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150001.0,REMOLINO DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2024,6,18647.0,8183.0,104.26,Sábado,06/22/2024 06:45:00 PM,7.43
18.0,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150002.0,SANTA FE DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2024,6,4127.0,1932.0,39.4,Sábado,06/15/2024 06:00:00 PM,4.27
18.0,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002.0,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2024,6,8770.0,3282.0,32.35,Sábado,06/29/2024 07:45:00 PM,14.56
19.0,CAUCA,19318,GUAPI,19318008.0,LIMONES (GUAPI - CAUCA),2024,6,9158.0,4037.0,43.34,Jueves,06/27/2024 07:30:00 PM,9.22
19.0,CAUCA,19318,GUAPI,19318013.0,SAN ANTONIO DE GUAJUI (GUAPI - CAUCA),2024,6,12520.0,6833.0,54.59,Miércoles,06/12/2024 06:30:00 PM,9.36
19.0,CAUCA,19418,LÓPEZ DE MICAY,19418009.0,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2024,6,6719.0,3215.0,36.0,Domingo,06/02/2024 07:30:00 PM,8.22
